2025-12-02 12:59:38,229 | INFO     | hw4_tourguide.judge | Judge | JudgeAgent initialized. LLM scoring: Disabled
2025-12-02 12:59:38,230 | INFO     | hw4_tourguide.judge | Judge_Input | Judge_Input | TID: demo_boston_mit | Step 1 | Agents: video(ok), song(ok), knowledge(ok)
2025-12-02 12:59:38,230 | INFO     | hw4_tourguide.judge | Judge_Mode | Judge_Mode | TID: demo_boston_mit | Scoring: heuristic | LLM: disabled
2025-12-02 12:59:38,230 | INFO     | hw4_tourguide.judge | Judge_Heuristic | Judge_Heuristic | TID: demo_boston_mit | Scores: video: 62.0, song: 50.0, knowledge: 47.0 | Time: 0ms
2025-12-02 12:59:38,230 | INFO     | hw4_tourguide.judge | Judge_Decision | Judge_Decision | TID: demo_boston_mit | CHOSEN: video (62.0) | Margin: +12.0 over second | All Scores: video:62.0, song:50.0, knowledge:47.0
2025-12-02 12:59:38,230 | INFO     | hw4_tourguide.judge | Judge_Complete | Judge_Complete | TID: demo_boston_mit | Step 1 | Total Time: 0ms | Mode: heuristic | Chosen: video
2025-12-02 12:59:40,235 | INFO     | hw4_tourguide.judge | Judge_Input | Judge_Input | TID: demo_boston_mit | Step 2 | Agents: video(ok), song(ok), knowledge(ok)
2025-12-02 12:59:40,237 | INFO     | hw4_tourguide.judge | Judge_Mode | Judge_Mode | TID: demo_boston_mit | Scoring: heuristic | LLM: disabled
2025-12-02 12:59:40,237 | INFO     | hw4_tourguide.judge | Judge_Heuristic | Judge_Heuristic | TID: demo_boston_mit | Scores: video: 67.3, song: 55.3, knowledge: 52.3 | Time: 0ms
2025-12-02 12:59:40,237 | INFO     | hw4_tourguide.judge | Judge_Decision | Judge_Decision | TID: demo_boston_mit | CHOSEN: video (67.3) | Margin: +12.0 over second | All Scores: video:67.3, song:55.3, knowledge:52.3
2025-12-02 12:59:40,237 | INFO     | hw4_tourguide.judge | Judge_Complete | Judge_Complete | TID: demo_boston_mit | Step 2 | Total Time: 2ms | Mode: heuristic | Chosen: video
2025-12-02 12:59:42,240 | INFO     | hw4_tourguide.judge | Judge_Input | Judge_Input | TID: demo_boston_mit | Step 3 | Agents: video(ok), song(ok), knowledge(ok)
2025-12-02 12:59:42,241 | INFO     | hw4_tourguide.judge | Judge_Mode | Judge_Mode | TID: demo_boston_mit | Scoring: heuristic | LLM: disabled
2025-12-02 12:59:42,241 | INFO     | hw4_tourguide.judge | Judge_Heuristic | Judge_Heuristic | TID: demo_boston_mit | Scores: video: 64.0, song: 52.0, knowledge: 49.0 | Time: 0ms
2025-12-02 12:59:42,241 | INFO     | hw4_tourguide.judge | Judge_Decision | Judge_Decision | TID: demo_boston_mit | CHOSEN: video (64.0) | Margin: +12.0 over second | All Scores: video:64.0, song:52.0, knowledge:49.0
2025-12-02 12:59:42,241 | INFO     | hw4_tourguide.judge | Judge_Complete | Judge_Complete | TID: demo_boston_mit | Step 3 | Total Time: 0ms | Mode: heuristic | Chosen: video
2025-12-02 12:59:44,246 | INFO     | hw4_tourguide.judge | Judge_Input | Judge_Input | TID: demo_boston_mit | Step 4 | Agents: video(ok), song(ok), knowledge(ok)
2025-12-02 12:59:44,246 | INFO     | hw4_tourguide.judge | Judge_Mode | Judge_Mode | TID: demo_boston_mit | Scoring: heuristic | LLM: disabled
2025-12-02 12:59:44,246 | INFO     | hw4_tourguide.judge | Judge_Heuristic | Judge_Heuristic | TID: demo_boston_mit | Scores: video: 71.1, song: 59.1, knowledge: 56.1 | Time: 0ms
2025-12-02 12:59:44,246 | INFO     | hw4_tourguide.judge | Judge_Decision | Judge_Decision | TID: demo_boston_mit | CHOSEN: video (71.1) | Margin: +12.0 over second | All Scores: video:71.1, song:59.1, knowledge:56.1
2025-12-02 12:59:44,246 | INFO     | hw4_tourguide.judge | Judge_Complete | Judge_Complete | TID: demo_boston_mit | Step 4 | Total Time: 0ms | Mode: heuristic | Chosen: video
